一级类目,二级类目,三级类目,四级类目,五级级类目,六级类目,成本
权威公司,MCN业务,美妆护肤,面部护肤,防晒,,3000
权威公司,MCN业务,美妆护肤,面部护肤,眼霜,眼部精华,3000
权威公司,MCN业务,美妆护肤,面部护肤,乳液,面霜,3000
权威公司,MCN业务,箱包皮具,功能箱包,书包,,3000
权威公司,MCN业务,家庭清洁,纸品,家庭环境清洁,油污清洁剂,3000
权威公司,MCN业务,营养保健,婴童营养,婴童叶黄素,,3000
权威公司,MCN业务,水饮冲调,饮料,果蔬汁,饮料,3000
权威公司,MCN业务,美妆护肤,面部护肤,面膜,,3000
权威公司,MCN业务,床上用品,枕头,乳胶枕,,3000
权威公司,MCN业务,母婴,婴童洗护,棉柔巾,绵柔巾,3000
权威公司,MCN业务,美妆护肤,面部护肤,润唇膏,,3000
权威公司,MCN业务,美妆护肤,面部护肤,乳液,面霜,3000
权威公司,MCN业务,母婴,婴童洗护,驱蚊用品,,3000
权威公司,MCN业务,休闲食品,蜜饯果干,梅子干,,3000
权威公司,MCN业务,美妆护肤,面部护肤,面部精华,,3000
权威公司,MCN业务,母婴,婴童洗护,日常护理,,3000
权威公司,MCN业务,美妆护肤,面部护肤,防晒,,3000
权威公司,MCN业务,美妆护肤,面部护肤,眼霜,眼部精华,3000
权威公司,MCN业务,粮油调味,方便食品,火腿肠,,3000
权威公司,MCN业务,母婴,婴童洗护,驱蚊用品,,500
权威公司,MCN业务,母婴,婴童洗护,日常护理,,500
权威公司,MCN业务,居家布艺,桌椅布艺,书桌垫,写字台垫,500
权威公司,MCN业务,母婴,婴童洗护,洗发沐浴,,500
权威公司,MCN业务,家庭清洁,纸品,衣物清洁,普通洗衣液,500
权威公司,MCN业务,空气质量,空气检测,甲醛仪器,,500
权威公司,MCN业务,床上用品,枕头,记忆枕,,500
权威公司,MCN业务,美妆护肤,面部护肤,面部精华,,500
权威公司,MCN业务,个人护理,身体护理,沐浴露,,500
权威公司,MCN业务,床上用品,被子,蚕丝被,,500
权威公司,MCN业务,营养保健,维生素,矿物质,复合维矿物质,500
权威公司,MCN业务,美妆护肤,面部护肤,爽肤水,化妆水,500
权威公司,MCN业务,医疗保健,保健器械,射频美容仪,,500
权威公司,MCN业务,美妆护肤,面部护肤,润唇膏,,500
权威公司,MCN业务,个人护理,洗发护发,洗发水,,500
权威公司,MCN业务,美妆护肤,精油芳疗,纯露,花水,500
权威公司,MCN业务,家用电器,个护健康,肩颈按摩器,,500
权威公司,MCN业务,母婴,童装,儿童内裤,,500
权威公司,MCN业务,家用电器,个护健康,肩颈按摩器,,500
权威公司,MCN业务,厨具,水具,保温杯,,500
权威公司,MCN业务,美妆护肤,面部护肤,防晒,,500
权威公司,MCN业务,美妆护肤,面部护肤,乳液,面霜,500
权威公司,MCN业务,美妆护肤,面部护肤,乳液,面霜,500
权威公司,MCN业务,家具,儿童家具,儿童学习桌,,500
权威公司,MCN业务,美妆护肤,面部护肤,爽肤水,化妆水,500
权威公司,MCN业务,美妆护肤,面部护肤,洁面,,500
权威公司,MCN业务,钟表眼镜,眼镜,太阳镜,,600
权威公司,MCN业务,美妆护肤,面部护肤,乳液,面霜,600
权威公司,MCN业务,营养保健,婴童营养,婴童DHA,鱼肝油,600
权威公司,MCN业务,休闲食品,西式糕点,吐司面包,,600
权威公司,MCN业务,美妆护肤,面部护肤,乳液,面霜,600
权威公司,MCN业务,生活日用,日用杂货,梳子,,600
权威公司,电商自营,美妆护肤,面部护肤,眼霜,眼部精华,600
权威公司,电商自营,水饮冲调,常温奶,基础牛奶,,600
权威公司,电商自营,服饰内衣,内衣,一次性内衣,,600
权威公司,电商自营,营养保健,维生素,矿物质,复合维矿物质,600
权威公司,电商自营,美妆护肤,面部护肤,乳液,面霜,600
权威公司,电商自营,营养保健,维生素,矿物质,维生素,600
权威公司,电商自营,粮油调味,调味品,复合调味料,,600
权威公司,电商自营,美妆护肤,面部护肤,防晒,,600
权威公司,电商自营,美妆护肤,面部护肤,乳液,面霜,600
权威公司,电商自营,美妆护肤,面部护肤,卸妆,,600
权威公司,电商自营,母婴,婴童洗护,日常护理,,600
权威公司,电商自营,电脑、办公,文具,书皮,,600
权威公司,电商自营,个人护理,口腔护理,牙膏,,600
权威公司,电商自营,营养保健,婴童营养,婴童益生菌,,600
权威公司,电商自营,营养保健,维生素,矿物质,矿物质,600
权威公司,电商自营,美妆护肤,面部护肤,乳液,面霜,600
权威公司,电商自营,个人护理,口腔护理,牙膏,,600
权威公司,电商自营,个人护理,洗发护发,洗发水,,600
权威公司,电商自营,服饰内衣,男装,男士羽绒服,,600
权威公司,电商自营,美妆护肤,面部护肤,面膜,,600
权威公司,电商自营,美妆护肤,面部护肤,眼霜,眼部精华,600
权威公司,电商自营,美妆护肤,面部护肤,润唇膏,,600
权威公司,电商自营,粮油调味,方便食品,午餐肉,,600
权威公司,电商自营,美妆护肤,香水彩妆,蜜粉,散粉,200
权威公司,电商自营,粮油调味,面粉,通用粉,,200
权威公司,电商自营,生鲜,蔬菜,根茎类,,200
权威公司,电商自营,美妆护肤,面部护肤,爽肤水,化妆水,200
权威公司,电商自营,营养保健,婴童营养,婴童DHA,鱼肝油,200
权威公司,电商自营,美妆护肤,面部护肤,面膜,,200
权威公司,电商自营,母婴,婴童洗护,日常护理,,200
权威公司,电商自营,美妆护肤,面部护肤,乳液,面霜,200
权威公司,电商自营,休闲食品,饼干,薄脆饼干,,200
权威公司,电商自营,美妆护肤,面部护肤,乳液,面霜,200
权威公司,电商自营,母婴,婴童洗护,日常护理,,200
权威公司,电商自营,家庭清洁,纸品,衣物清洁,洗衣粉,200
权威公司,电商自营,美妆护肤,面部护肤,面部精华,,200
权威公司,电商自营,个人护理,洗发护发,洗发水,,200
权威公司,电商自营,灯饰照明,读写灯饰,阅读台灯（护眼灯）,,200
权威公司,电商自营,个人护理,女性护理,卫生巾,,200
权威公司,抽检业务,母婴,婴童洗护,日常护理,,200
权威公司,抽检业务,水饮冲调,常温奶,儿童牛奶,,200
权威公司,抽检业务,美妆护肤,面部护肤,乳液,面霜,200
权威公司,抽检业务,美妆护肤,面部护肤,润唇膏,,200
权威公司,抽检业务,个人护理,身体护理,身体乳,霜,200
权威公司,抽检业务,服饰内衣,户外鞋服,户外防晒衣,,200
权威公司,抽检业务,家用电器,清洁电器,家用洗地机,,200
权威公司,抽检业务,美妆护肤,面部护肤,洁面,,200
权威公司,抽检业务,营养保健,婴童营养,婴童叶黄素,,200
权威公司,抽检业务,厨具,烹饪锅具,炒锅,,200
权威公司,抽检业务,个人护理,身体护理,沐浴露,,200
权威公司,抽检业务,母婴,婴童洗护,日常护理,,200
权威公司,抽检业务,营养保健,婴童营养,婴童叶黄素,,200
权威公司,抽检业务,美妆护肤,面部护肤,爽肤水,化妆水,200
权威公司,抽检业务,美妆护肤,面部护肤,卸妆,,200
权威公司,抽检业务,文教文化用品,手工,DIY,彩泥/橡皮泥/粘土,200
权威公司,抽检业务,母婴,婴童寝居,爬行垫,,200
权威公司,抽检业务,营养保健,维生素,矿物质,维生素,200
权威公司,抽检业务,美妆护肤,面部护肤,眼霜,眼部精华,200
权威公司,抽检业务,美妆护肤,面部护肤,乳液,面霜,200
权威公司,抽检业务,厨具,水具,智能水杯,,700
权威公司,抽检业务,家具,床垫,弹簧床垫,,700
权威公司,抽检业务,休闲食品,肉类零食,牛肉类,,700
权威公司,抽检业务,美妆护肤,面部护肤,爽肤水,化妆水,700
权威公司,抽检业务,个人护理,洗发护发,洗发水,,700
权威公司,抽检业务,服饰内衣,内衣,男士内裤,,700
权威公司,抽检业务,美妆护肤,面部护肤,卸妆,,700
权威公司,抽检业务,家具,床垫,椰棕,山棕床垫,700
权威公司,抽检业务,个人护理,身体护理,身体乳,霜,700
权威公司,抽检业务,母婴,婴童洗护,驱蚊用品,,700
权威公司,抽检业务,美妆护肤,面部护肤,面部精华,,700
权威公司,抽检业务,母婴,奶粉,儿童奶粉,,700
权威公司,抽检业务,生鲜,面点烘焙,面点,,700
权威公司,抽检业务,个人护理,身体护理,沐浴露,,700
权威公司,抽检业务,家用电器,厨房小电,破壁机,,700
权威公司,抽检业务,美妆护肤,面部护肤,爽肤水,化妆水,700
权威公司,抽检业务,美妆护肤,面部护肤,面膜,,700
权威公司,抽检业务,营养保健,婴童营养,婴童DHA,鱼肝油,700
权威公司,抽检业务,个人护理,口腔护理,牙膏,,700
权威公司,抽检业务,家庭清洁,纸品,家庭环境清洁,洁厕灵,700
权威公司,抽检业务,休闲食品,奶制品零食,奶皮,,700
权威公司,抽检业务,营养保健,婴童营养,婴童益生菌,,700
权威公司,抽检业务,家庭清洁,纸品,家庭环境清洁,管道疏通剂,700
权威公司,抽检业务,床上用品,被子,纤维被,,700
权威公司,抽检业务,美妆护肤,面部护肤,爽肤水,化妆水,700
权威公司,抽检业务,美妆护肤,面部护肤,眼霜,眼部精华,700
权威公司,抽检业务,个人护理,美发造型,蓬蓬粉,,700
权威公司,抽检业务,家用电器,厨房小电,电压力锅,,700
权威公司,抽检业务,美妆护肤,面部护肤,防晒,,700
权威公司,抽检业务,家用电器,大家电,平板电视,,700
权威公司,CPS+轻定制,家具,床类,皮艺床,,700
权威公司,CPS+轻定制,美妆护肤,面部护肤,洁面,,700
权威公司,CPS+轻定制,生鲜,禽肉蛋品,鸡肉,,700
权威公司,CPS+轻定制,营养保健,婴童营养,婴童乳铁蛋白,,700
权威公司,CPS+轻定制,营养保健,养颜,抗氧化,胶原蛋白,700
权威公司,CPS+轻定制,医疗保健,护理护具,眼部护理,,700
权威公司,CPS+轻定制,床上用品,被子,羊毛,驼毛被,700
权威公司,CPS+轻定制,美妆护肤,面部护肤,眼霜,眼部精华,700
权威公司,CPS+轻定制,母婴,奶粉,儿童奶粉,,700
权威公司,CPS+轻定制,水饮冲调,常温奶,基础牛奶,,700
权威公司,CPS+轻定制,生活日用,沐浴洗漱用品,搓澡巾,海绵,700
权威公司,CPS+轻定制,美妆护肤,面部护肤,面膜,,700
权威公司,CPS+轻定制,生鲜,猪牛羊肉,牛肉,,700
权威公司,CPS+轻定制,个人护理,口腔护理,牙刷,,700
权威公司,CPS+轻定制,钟表眼镜,眼镜,太阳镜,,400
权威公司,CPS+轻定制,水饮冲调,冲饮谷物,膏,浆类,400
权威公司,CPS+轻定制,个人护理,身体护理,走珠,止汗露,400
权威公司,CPS+轻定制,美妆护肤,面部护肤,面部精华,,400
权威公司,CPS+轻定制,母婴,婴童洗护,洗发沐浴,,400
权威公司,电商自营,营养保健,婴童营养,婴童叶黄素,,400
权威公司,电商自营,美妆护肤,面部护肤,防晒,,400
权威公司,电商自营,家用电器,生活电器,净水器,,400
权威公司,电商自营,美妆护肤,面部护肤,面部精华,,400
权威公司,电商自营,美妆护肤,面部护肤,面膜,,400
权威公司,电商自营,营养保健,维生素,矿物质,矿物质,400
权威公司,电商自营,服饰内衣,内衣,女士内裤,,400
权威公司,电商自营,空气质量,空气检测,甲醛仪器,,400
权威公司,电商自营,生鲜,禽肉蛋品,鸡肉,,400
权威公司,电商自营,文教文化用品,学习用品,红领巾,,400
权威公司,电商自营,美妆护肤,面部护肤,面部精华,,400
权威公司,电商自营,母婴,婴童洗护,日常护理,,400
权威公司,电商自营,营养保健,维生素,矿物质,矿物质,400
权威公司,电商自营,美妆护肤,香水彩妆,眉笔,眉粉/眉膏,400
权威公司,电商自营,家庭清洁,纸品,驱蚊驱虫,杀蟑用品,400
权威公司,电商自营,家具,床垫,乳胶床垫,,400
权威公司,电商自营,营养保健,骨骼健康,关节养护,,400
权威公司,电商自营,美妆护肤,美妆工具,化妆棉,,400
权威公司,电商自营,厨房卫浴,淋浴花洒,手持花洒喷头,,400
权威公司,电商自营,营养保健,婴童营养,婴童乳铁蛋白,,400
权威公司,电商自营,空气质量,空气检测,TVOC,,400
权威公司,电商自营,美妆护肤,面部护肤,面部精华,,400
权威公司,电商自营,营养保健,改善睡眠,褪黑素,,400
权威公司,电商自营,母婴,婴童洗护,日常护理,,400
